,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bredasdorp,36.0,ZA,1552924882.0,73.0,-34.53,20.04,298.15,4.6
1,minuri,8.0,PH,1552925108.0,91.0,16.54,121.86,293.336,1.58
2,khatanga,80.0,RU,1552925108.0,85.0,71.98,102.47,256.886,3.3
3,rikitea,88.0,PF,1552925109.0,100.0,-23.12,-134.97,298.736,9.0
4,aguazul,20.0,CO,1552924812.0,60.0,5.17,-72.55,297.286,1.28
5,krishnagiri,12.0,IN,1552925109.0,43.0,12.52,78.22,297.536,3.18
6,souillac,75.0,FR,1552924992.0,58.0,45.6,-0.6,285.93,5.7
7,airai,56.0,TL,1552924888.0,85.0,-8.93,125.41,293.736,0.9
8,sept-iles,90.0,CA,1552925013.0,47.0,50.2,-66.38,265.93,3.6
9,mar del plata,44.0,AR,1552924928.0,50.0,-46.43,-67.52,287.186,9.7
10,ponta do sol,8.0,BR,1552925110.0,88.0,-20.63,-46.0,301.136,1.9
11,boende,32.0,CD,1552925111.0,66.0,-0.28,20.88,304.036,1.3
12,vaini,0.0,IN,1552924850.0,56.0,15.34,74.49,298.886,2.38
13,lompoc,1.0,US,1552924846.0,76.0,34.64,-120.46,290.93,0.95
14,vikhorevka,64.0,RU,1552921200.0,79.0,56.12,101.17,266.15,2.0
15,nanortalik,88.0,GL,1552924898.0,100.0,60.14,-45.24,272.486,5.18
17,el limon,8.0,VE,1552925112.0,59.0,10.3,-67.63,300.986,0.7
18,hermanus,64.0,ZA,1552924882.0,74.0,-34.42,19.24,298.71,2.24
19,lavrentiya,44.0,RU,1552925112.0,97.0,65.58,-170.99,255.136,3.1
20,albany,75.0,US,1552924863.0,37.0,42.65,-73.75,276.48,5.7
22,torbay,20.0,CA,1552925004.0,54.0,47.66,-52.73,273.71,11.8
24,the valley,20.0,AI,1552924874.0,39.0,18.22,-63.06,301.15,7.7
25,marawi,92.0,PH,1552924936.0,90.0,8.0,124.29,298.15,1.34
26,tasiilaq,92.0,GL,1552920600.0,85.0,65.61,-37.64,268.15,8.7
27,qaqortoq,75.0,GL,1552920600.0,100.0,60.72,-46.03,273.15,6.85
28,oktyabrskoye,75.0,RU,1552924835.0,73.0,56.73,85.44,270.93,3.0
29,bilma,32.0,NE,1552925115.0,15.0,18.69,12.92,304.636,5.5
30,bollnas,92.0,SE,1552925115.0,71.0,61.35,16.39,273.636,4.68
31,tiarei,40.0,PF,1552924992.0,88.0,-17.53,-149.33,298.15,2.1
32,ushuaia,75.0,AR,1552921200.0,56.0,-54.81,-68.31,278.15,8.7
33,leningradskiy,76.0,RU,1552925116.0,88.0,69.38,178.42,256.136,12.35
34,mataura,56.0,NZ,1552924808.0,95.0,-46.19,168.86,287.04,1.28
35,hobart,75.0,AU,1552924898.0,87.0,-42.88,147.33,288.71,2.1
36,saint george,0.0,GR,1552925008.0,63.0,39.45,22.34,294.15,2.6
37,chokurdakh,24.0,RU,1552925117.0,34.0,70.62,147.9,242.486,1.35
38,tuktoyaktuk,90.0,CA,1552921200.0,79.0,69.44,-133.03,269.15,4.6
39,henties bay,0.0,NA,1552921332.0,89.0,-22.12,14.28,290.37,3.13
40,bayangol,80.0,MN,1552925117.0,56.0,48.91,106.09,267.836,7.08
41,bluff,0.0,AU,1552924876.0,89.0,-23.58,149.07,293.586,1.75
42,taoudenni,24.0,ML,1552925118.0,13.0,22.68,-3.98,304.536,2.83
43,arraial do cabo,20.0,BR,1552921200.0,66.0,-22.97,-42.02,306.15,6.2
44,meulaboh,36.0,ID,1552925118.0,100.0,4.14,96.13,300.236,1.7
45,krasnodon,48.0,UA,1552925119.0,73.0,48.31,39.72,282.336,1.95
46,saskylakh,20.0,RU,1552925119.0,39.0,71.97,114.09,240.986,1.35
47,port elizabeth,75.0,US,1552925116.0,33.0,39.31,-74.98,279.82,2.6
48,punta arenas,75.0,CL,1552924996.0,97.0,-53.16,-70.91,283.15,8.7
50,avarua,56.0,CK,1552921200.0,94.0,-21.21,-159.78,300.15,3.6
51,japura,12.0,ID,1552925110.0,75.0,-0.42,102.29,300.136,1.18
52,namatanai,36.0,PG,1552925180.0,99.0,-3.66,152.44,301.286,4.08
54,beringovskiy,56.0,RU,1552925180.0,100.0,63.05,179.32,253.336,3.75
55,talladega,1.0,US,1552925177.0,35.0,33.44,-86.11,287.59,4.6
56,hilo,90.0,US,1552925132.0,68.0,19.71,-155.08,293.15,3.1
58,biltine,0.0,TD,1552925182.0,15.0,14.53,20.93,308.136,5.4
59,bethel,1.0,US,1552924560.0,92.0,60.79,-161.76,261.15,4.6
60,puerto ayora,0.0,EC,1552924854.0,62.0,-0.74,-90.35,302.15,3.1
61,turinsk,76.0,RU,1552925183.0,83.0,58.04,63.7,271.636,2.05
63,georgetown,20.0,GY,1552921200.0,70.0,6.8,-58.16,305.15,6.2
64,ugoofaaru,68.0,MV,1552925184.0,99.0,5.67,73.0,302.636,4.78
65,rio grande,90.0,BR,1552924800.0,94.0,-32.03,-52.1,295.15,6.2
67,yellowknife,75.0,CA,1552924770.0,85.0,62.45,-114.38,269.82,6.2
68,gorom-gorom,0.0,BF,1552925185.0,21.0,14.45,-0.24,312.636,2.63
69,lorengau,36.0,PG,1552924923.0,95.0,-2.02,147.27,301.936,5.78
70,baruun-urt,68.0,MN,1552925186.0,34.0,46.68,113.28,278.336,4.23
